Full Name,First Name,Last Name,Email,Phone,Gender,Date of Birth,Nationality,Source,Visits,Logins,First Visit,Last Visit,First Login,Last Login,Location,Marketing Opt-in,MAC Address,Do You Drink Coffee
Test 14948,John,Rivera,test-14948-@devsloop.com,0092-3014948-6636666,,2012-12-12,,Email,1,1,02-07-2023 15:16:47,02-07-2023 15:16:47,02-07-2023 15:16:47,02-07-2023 15:16:47,Location 2,FALSE,5e:a0:12:47:3a:71,
Test 3050,,,test-3050-@devsloop.com,0092-303050-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4275,,,test-4275-@devsloop.com,0092-304275-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 10672,,,test-10672-@devsloop.com,0092-3010672-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 11077,,,test-11077-@devsloop.com,0092-3011077-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 11087,,,test-11087-@devsloop.com,0092-3011087-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4267,,,test-4267-@devsloop.com,0092-304267-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 3063,,,test-3063-@devsloop.com,0092-303063-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 11088,,,test-11088-@devsloop.com,0092-3011088-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4212,,,test-4212-@devsloop.com,0092-304212-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4276,,,test-4276-@devsloop.com,0092-304276-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 1814,,,test-1814-@devsloop.com,0092-301814-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 2547,,,test-2547-@devsloop.com,0092-302547-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 3045,,,test-3045-@devsloop.com,0092-303045-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4277,,,test-4277-@devsloop.com,0092-304277-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 6316,,,test-6316-@devsloop.com,0092-306316-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4278,,,test-4278-@devsloop.com,0092-304278-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 13927,,,test-13927-@devsloop.com,0092-3013927-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 1743,,,test-1743-@devsloop.com,0092-301743-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 3048,,,test-3048-@devsloop.com,0092-303048-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 6295,,,test-6295-@devsloop.com,0092-306295-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4279,,,test-4279-@devsloop.com,0092-304279-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4280,,,test-4280-@devsloop.com,0092-304280-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 14428,,,test-14428-@devsloop.com,0092-3014428-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
Test 4281,,,test-4281-@devsloop.com,0092-304281-6636666,,,,Import,0,0,,,,,Location 1,FALSE,,
